eggpod -1840.0 176.0 -688.875 0.0 279.0 0.0 0.0 0.0 1.0 0.0 279.0 0.0
medistat 408.0 760.0 -376.875 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
arm 320.0 728.0 -370.875 0.0 5.0 0.0 0.0 0.0 1.0 0.0 5.0 0.0
reactor 256.0 1024.0 -368.875 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
telenode 272.0 864.0 -379.875 0.0 225.0 0.0 0.0 0.0 1.0 0.0 225.0 0.0
telenode 264.0 1168.0 -379.875 0.0 495.0 0.0 0.0 0.0 1.0 0.0 495.0 0.0
mgturret 512.0 1312.0 -363.875 0.0 360.0 0.0 0.0 0.0 1.0 0.0 360.0 0.0
mgturret 512.0 736.0 -363.875 0.0 360.0 0.0 0.0 0.0 1.0 0.0 360.0 0.0
eggpod -2168.0 168.0 -688.875 0.0 275.0 0.0 0.0 0.0 1.0 0.0 275.0 0.0
acid_tube -1584.0 472.0 -880.875 0.0 86.0 0.0 0.0 0.0 1.0 0.0 86.0 0.0
barricade -2192.0 304.0 -880.875 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
barricade -1504.0 544.0 -880.875 0.0 235.0 0.0 0.0 0.0 1.0 0.0 235.0 0.0
acid_tube -2256.0 216.0 -880.875 0.0 86.0 0.0 0.0 0.0 1.0 0.0 86.0 0.0
dpoint_a -2078.0 2457.0 -511.0 0.0 499.0 360.0 0.0 0.0 1.0 0.0 499.0 1.0
dpoint_c -1029.0 1786.0 -703.0 0.0 183.0 360.0 0.0 0.0 1.0 0.0 183.0 1.0
dpoint_b -1537.0 -453.0 -511.0 0.0 506.0 360.0 0.0 0.0 1.0 0.0 506.0 1.0
overmind -2136.0 144.0 -880.875 0.0 283.0 0.0 0.0 0.0 1.0 0.0 283.0 0.0
